,Linear Regression,Ridge Regression,Lasso Regression
MSLE,0.002343322317233204,0.0023433244401941905,0.002343332060457273
Root MSLE,0.04840787453744694,0.04840789646528953,0.04840797517411024
R2 Score,0.6327702348973074,0.6327697945860546,0.632770854185043
Accuracy(%),63.277,63.277,63.2771
